                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                 1.2948,                   0.78,                 1.0635,                0.81398,                0.70664,                0.75752,                0.49525,                 1.2389,                 0.7053,                 1.0044,             0.00088669,             0.00088669,             0.00088669
                    118,                 1.3493,                0.80285,                 1.0696,                0.88391,                0.65462,                0.74288,                0.48337,                 1.2665,                0.71354,                 1.0181,             0.00088198,             0.00088198,             0.00088198
                    119,                 1.3425,                0.78852,                 1.0585,                0.82366,                0.63609,                0.71229,                0.45743,                   1.29,                0.73544,                 1.0171,             0.00087726,             0.00087726,             0.00087726
                    120,                 1.3425,                0.80103,                 1.0884,                0.86201,                0.66264,                0.75175,                0.49473,                 1.2335,                0.73922,                 1.0055,             0.00087255,             0.00087255,             0.00087255
                    121,                 1.3271,                0.80682,                 1.0822,                0.85996,                0.68624,                0.75863,                0.49476,                 1.2337,                0.70632,                 1.0073,             0.00086783,             0.00086783,             0.00086783
                    122,                 1.3171,                 0.7831,                 1.0477,                0.85976,                0.69091,                0.75906,                 0.4987,                 1.2385,                0.70363,                 1.0025,             0.00086312,             0.00086312,             0.00086312
                    123,                  1.334,                 0.7897,                 1.0816,                0.89221,                0.68212,                0.76224,                0.50653,                 1.2316,                0.69415,                  1.007,              0.0008584,              0.0008584,              0.0008584
                    124,                 1.3143,                0.77361,                 1.0655,                 0.8856,                0.65537,                0.76073,                0.50355,                 1.2199,                 0.7008,                 1.0023,             0.00085368,             0.00085368,             0.00085368
                    125,                 1.3034,                0.77845,                 1.0581,                0.86957,                0.64496,                0.74826,                0.48778,                  1.225,                0.69035,                0.99993,             0.00084897,             0.00084897,             0.00084897
                    126,                 1.3181,                0.77708,                 1.0433,                0.89979,                0.65719,                0.75514,                0.50702,                 1.2163,                0.68725,                0.99973,             0.00084425,             0.00084425,             0.00084425
                    127,                 1.3038,                0.77721,                 1.0491,                0.84996,                0.69874,                0.76032,                0.51198,                 1.2339,                0.67813,                 1.0025,             0.00083954,             0.00083954,             0.00083954
                    128,                 1.2918,                0.77594,                 1.0729,                0.85699,                0.70365,                0.76263,                0.50437,                 1.2112,                0.68264,                0.99963,             0.00083482,             0.00083482,             0.00083482
                    129,                 1.3352,                0.77755,                 1.0485,                0.84503,                0.69934,                0.75717,                0.50947,                 1.2102,                0.68642,                 1.0006,             0.00083011,             0.00083011,             0.00083011
                    130,                 1.3238,                0.78667,                 1.0752,                 0.8739,                0.69412,                0.76418,                0.50751,                 1.2068,                0.68795,                0.99922,             0.00082539,             0.00082539,             0.00082539
                    131,                 1.3041,                0.77402,                  1.049,                0.86363,                0.67947,                0.75832,                0.49196,                 1.1965,                0.67569,                 1.0009,             0.00082067,             0.00082067,             0.00082067
                    132,                 1.2787,                0.77656,                 1.0602,                0.85142,                0.69311,                0.75443,                0.50844,                 1.1992,                0.67606,                0.99748,             0.00081596,             0.00081596,             0.00081596
                    133,                 1.2983,                0.77022,                  1.046,                0.86043,                0.69396,                0.76117,                0.50601,                 1.2006,                0.69788,                0.99602,             0.00081124,             0.00081124,             0.00081124
                    134,                 1.2977,                0.77626,                 1.0597,                0.89021,                0.65255,                0.75198,                0.50893,                 1.1692,                0.69706,                0.98507,             0.00080653,             0.00080653,             0.00080653
                    135,                 1.2783,                0.77276,                 1.0496,                0.82598,                0.69648,                0.75369,                0.50414,                 1.1895,                0.68528,                0.98974,             0.00080181,             0.00080181,             0.00080181
                    136,                 1.2533,                0.74146,                 1.0336,                0.85053,                0.69332,                 0.7556,                0.50129,                 1.1947,                0.67773,                0.98655,              0.0007971,              0.0007971,              0.0007971
                    137,                 1.2727,                0.76509,                 1.0582,                0.87435,                0.69246,                0.76393,                0.51386,                 1.1744,                0.66762,                0.98827,             0.00079238,             0.00079238,             0.00079238
                    138,                 1.2626,                0.75375,                 1.0418,                0.84298,                0.71524,                 0.7695,                 0.5236,                    1.2,                 0.6733,                 0.9939,             0.00078766,             0.00078766,             0.00078766
                    139,                 1.2904,                 0.7591,                 1.0474,                0.86101,                 0.7004,                0.76814,                0.52496,                 1.1546,                0.66549,                0.98232,             0.00078295,             0.00078295,             0.00078295
                    140,                 1.2635,                0.75068,                 1.0354,                0.85792,                0.70458,                0.76592,                0.52313,                 1.1598,                0.65506,                0.98527,             0.00077823,             0.00077823,             0.00077823
                    141,                 1.2413,                0.73951,                 1.0294,                0.83247,                0.71362,                0.76766,                0.53024,                 1.1579,                0.65617,                0.98169,             0.00077352,             0.00077352,             0.00077352
                    142,                 1.2925,                0.74549,                 1.0242,                0.86864,                0.71323,                 0.7731,                0.52693,                 1.1743,                0.66336,                0.98295,              0.0007688,              0.0007688,              0.0007688
                    143,                 1.2846,                0.75902,                 1.0383,                0.86635,                0.70792,                0.77368,                0.51777,                 1.1698,                0.66378,                0.98824,             0.00076409,             0.00076409,             0.00076409
                    144,                 1.2655,                0.74476,                 1.0255,                0.86867,                0.70186,                0.77152,                0.51646,                 1.1709,                0.66915,                0.98233,             0.00075937,             0.00075937,             0.00075937
                    145,                 1.2137,                0.74519,                 1.0454,                0.84629,                0.71841,                0.77622,                0.52517,                 1.1724,                0.65263,                 0.9849,             0.00075465,             0.00075465,             0.00075465
                    146,                 1.2425,                0.73296,                 1.0345,                0.87513,                0.70493,                0.77185,                0.52426,                 1.1633,                0.64632,                 0.9786,             0.00074994,             0.00074994,             0.00074994
                    147,                 1.2269,                0.73718,                 1.0295,                0.84024,                0.72016,                 0.7761,                0.53016,                 1.1353,                0.64411,                0.97268,             0.00074522,             0.00074522,             0.00074522
                    148,                 1.2583,                0.74106,                 1.0332,                0.87379,                0.72032,                 0.7765,                0.52601,                 1.1825,                0.65244,                0.98235,             0.00074051,             0.00074051,             0.00074051
                    149,                 1.2017,                0.73082,                 1.0372,                0.87893,                0.71501,                0.77412,                0.52943,                 1.1478,                0.64887,                0.97354,             0.00073579,             0.00073579,             0.00073579
                    150,                 1.2486,                0.73145,                 1.0358,                0.87984,                 0.7094,                0.77238,                0.52322,                 1.1575,                0.65495,                0.97846,             0.00073108,             0.00073108,             0.00073108
                    151,                 1.2618,                0.74128,                 1.0355,                0.83575,                0.71514,                0.77055,                0.52291,                  1.172,                 0.6528,                0.98244,             0.00072636,             0.00072636,             0.00072636
